precinct,count_precinct
954.0,651.0
955.0,3084.0
956.0,3040.0
957.0,635.0
958.0,2282.0
960.0,2005.0
961.0,1785.0
962.0,378.0
963.0,1187.0
964.0,2916.0
965.0,395.0
966.0,1529.0
967.0,2179.0
968.0,4288.0
969.0,665.0
970.0,931.0
971.0,370.0
972.0,3024.0
973.0,1409.0
974.0,2290.0
975.0,206.0
976.0,845.0
977.0,1468.0
978.0,315.0
980.0,1393.0
981.0,80.0
982.0,3497.0
983.0,4010.0
984.0,133.0
985.0,298.0
986.0,641.0
987.0,1216.0
988.0,3323.0
989.0,1.0
990.0,82.0
991.0,5013.0
992.0,1178.0
994.0,2872.0
995.0,2397.0
996.0,757.0
997.0,2005.0
1000.0,412.0
1001.0,1728.0
1002.0,1028.0
1003.0,196.0
1004.0,762.0
1006.0,1384.0
1007.0,2621.0
1008.0,1572.0
1009.0,339.0
1010.0,1665.0
1011.0,53.0
1012.0,2059.0
1016.0,3201.0
1017.0,185.0
1019.0,337.0
1020.0,2732.0
1021.0,707.0
1022.0,2473.0
1023.0,1053.0
1024.0,392.0
1025.0,834.0
1026.0,1693.0
1027.0,766.0
1028.0,3847.0
1029.0,2831.0
1030.0,455.0
1031.0,2117.0
1032.0,284.0
1033.0,756.0
1034.0,1557.0
1035.0,63.0
1036.0,66.0
1037.0,3157.0
1038.0,2946.0
1040.0,883.0
1041.0,655.0
1042.0,2772.0
1043.0,2246.0
1044.0,278.0
1045.0,770.0
1046.0,1338.0
1047.0,1008.0
1048.0,741.0
1049.0,551.0
1050.0,1374.0
1053.0,941.0
1054.0,3798.0
1055.0,4085.0
1056.0,4175.0
1057.0,6.0
1058.0,189.0
1059.0,1713.0
1060.0,2797.0
1061.0,2769.0
1062.0,2552.0
1063.0,2756.0
1064.0,3055.0
1065.0,2779.0
1067.0,1725.0
1068.0,3195.0
1070.0,329.0
1071.0,3725.0
1072.0,1720.0
1074.0,1067.0
1076.0,3704.0
1077.0,3400.0
1078.0,3004.0
1079.0,2417.0
1080.0,929.0
1081.0,289.0
1084.0,509.0
1085.0,2393.0
1086.0,4978.0
1087.0,2983.0
1088.0,812.0
1089.0,22.0
1090.0,578.0
1091.0,2387.0
1092.0,1070.0
1093.0,2009.0
1095.0,2953.0
1096.0,4155.0
1097.0,1219.0
1098.0,2077.0
1099.0,3.0
1100.0,959.0
1101.0,1799.0
1102.0,3920.0
1103.0,2057.0
1104.0,2554.0
1105.0,243.0
1106.0,1129.0
1107.0,270.0
1108.0,11.0
1109.0,194.0
1110.0,2260.0
1111.0,2003.0
1112.0,3300.0
1113.0,3339.0
1114.0,2489.0
1115.0,638.0
1116.0,2526.0
1117.0,2953.0
1118.0,2710.0
1119.0,14.0
1120.0,3198.0
1121.0,641.0
1122.0,1864.0
1123.0,1376.0
1126.0,2264.0
1127.0,1201.0
1128.0,3581.0
1130.0,955.0
1131.0,360.0
1133.0,87.0
1134.0,3478.0
1135.0,4253.0
1136.0,3569.0
1137.0,3085.0
1138.0,1756.0
1139.0,3285.0
1140.0,289.0
1142.0,419.0
1144.0,1785.0
1145.0,3650.0
1146.0,2724.0
1147.0,53.0
1148.0,1229.0
1149.0,4083.0
1151.0,3585.0
1152.0,310.0
1156.0,1.0
1166.0,1536.0
1167.0,3393.0
1168.0,1443.0
1169.0,1022.0
1170.0,4688.0
1171.0,3043.0
1172.0,2913.0
